user id,start day,end day,days,is_churner,
40454023,2019-06-04,2019-06-04,0,1,
23535916,2019-06-04,2019-06-04,0,1,
30441328,2019-06-04,2019-06-04,0,1,
19643804,2019-06-04,2019-06-04,0,1,
46198554,2019-06-04,2019-06-04,0,1,
6099874,2019-03-12,2019-06-11,91,1,
822522,2019-04-23,2019-06-11,49,1,
15791501,2019-04-23,2019-06-11,49,1,
183459,2019-05-14,2019-06-11,28,1,
50188522,2019-06-11,2019-06-11,0,1,
6824651,2019-06-11,2019-06-11,0,1,
4608491,2019-06-11,2019-06-11,0,1,
17194262,2019-06-11,2019-06-11,0,1,
34345,2019-06-11,2019-06-11,0,1,
17069129,2019-06-11,2019-06-11,0,1,
919763,2019-06-11,2019-06-11,0,1,
8986994,2019-03-05,2019-06-18,105,1,
8723081,2019-06-18,2019-06-18,0,1,
3478847,2018-08-07,2019-06-18,315,1,
8255422,2018-10-09,2019-06-18,252,1,
18219926,2019-03-26,2019-06-18,84,1,
28371492,2019-05-28,2019-06-18,21,1,
15849929,2019-06-04,2019-06-18,14,1,
6961410,2019-06-11,2019-06-18,7,1,
1877114,2019-06-11,2019-06-18,7,1,
51415435,2019-06-18,2019-06-18,0,1,
34843649,2019-06-18,2019-06-18,0,1,
13533626,2019-06-18,2019-06-18,0,1,
20405133,2019-06-18,2019-06-18,0,1,
17918702,2019-06-18,2019-06-18,0,1,
10520528,2019-06-18,2019-06-18,0,1,
439390,2019-06-18,2019-06-18,0,1,
1817442,2019-06-18,2019-06-18,0,1,
3418501,2019-06-18,2019-06-18,0,1,
45715935,2019-06-18,2019-06-18,0,1,
305581,2019-06-18,2019-06-18,0,1,
33488376,2019-06-18,2019-06-18,0,1,
29998820,2019-06-18,2019-06-18,0,1,
111569,2019-04-23,2019-06-25,63,1,
10764342,2019-06-25,2019-06-25,0,1,
31962564,2019-03-19,2019-06-25,98,1,
6635910,2019-03-26,2019-06-25,91,1,
39306745,2019-04-09,2019-06-25,77,1,
2955615,2019-06-04,2019-06-25,21,1,
5635674,2019-06-11,2019-06-25,14,1,
28493835,2019-06-18,2019-06-25,7,1,
9507359,2019-06-18,2019-06-25,7,1,
30306852,2019-06-18,2019-06-25,7,1,
240344,2019-06-25,2019-06-25,0,1,
1331389,2019-06-25,2019-06-25,0,1,
5670809,2019-06-25,2019-06-25,0,1,
5873687,2019-06-25,2019-06-25,0,1,
50494683,2019-06-25,2019-06-25,0,1,
16477787,2019-06-25,2019-06-25,0,1,
7115634,2019-06-25,2019-06-25,0,1,
424192,2019-06-25,2019-06-25,0,1,
7561038,2019-06-25,2019-06-25,0,1,
17508451,2019-06-25,2019-06-25,0,1,
34202425,2019-06-25,2019-06-25,0,1,
14087435,2019-06-25,2019-06-25,0,1,
12450485,2019-05-28,2019-07-02,35,1,
46456844,2019-06-11,2019-07-02,21,1,
12819460,2019-06-18,2019-07-02,14,1,
7947679,2019-06-25,2019-07-02,7,1,
42377481,2019-07-02,2019-07-02,0,1,
5981644,2019-07-02,2019-07-02,0,1,
11750646,2019-07-02,2019-07-02,0,1,
419720,2019-07-02,2019-07-02,0,1,
17270157,2019-07-02,2019-07-02,0,1,
51415043,2019-07-02,2019-07-02,0,1,
7097428,2019-07-02,2019-07-02,0,1,
11409750,2019-07-02,2019-07-02,0,1,
5784047,2019-07-02,2019-07-02,0,1,
6290760,2019-07-02,2019-07-02,0,1,
43151396,2019-07-02,2019-07-02,0,1,
14357792,2019-07-02,2019-07-02,0,1,
40820976,2019-07-02,2019-07-02,0,1,
4944073,2019-07-02,2019-07-02,0,1,
48144999,2019-07-02,2019-07-02,0,1,
1721873,2019-07-02,2019-07-09,7,1,
1584318,2019-02-12,2019-07-09,147,1,
21148145,2019-04-30,2019-07-09,70,1,
6261900,2019-05-14,2019-07-09,56,1,
3729481,2019-06-18,2019-07-09,21,1,
19830031,2019-07-09,2019-07-09,0,1,
6319642,2019-07-09,2019-07-09,0,1,
14852840,2019-07-09,2019-07-09,0,1,
41167496,2019-07-09,2019-07-09,0,1,
5237397,2019-07-09,2019-07-09,0,1,
17823,2019-07-09,2019-07-09,0,1,
68859,2019-07-09,2019-07-09,0,1,
1977850,2019-07-16,2019-07-16,0,1,
10114176,2019-05-28,2019-07-16,49,1,
6984066,2019-06-18,2019-07-16,28,1,
184706,2019-06-25,2019-07-16,21,1,
6925089,2019-07-02,2019-07-16,14,1,
37749318,2019-07-09,2019-07-16,7,1,
6919273,2019-07-16,2019-07-16,0,1,
52062355,2019-07-16,2019-07-16,0,1,
32668547,2019-07-16,2019-07-16,0,1,
29451317,2019-07-16,2019-07-16,0,1,
16049129,2019-07-16,2019-07-16,0,1,
51779115,2019-07-16,2019-07-16,0,1,
8904187,2019-07-16,2019-07-16,0,1,
795761,2019-07-23,2019-07-23,0,1,
15046660,2019-03-05,2019-07-23,140,1,
16749003,2019-04-02,2019-07-23,112,1,
899144,2019-06-18,2019-07-23,35,1,
1120261,2019-06-18,2019-07-23,35,1,
38865185,2019-07-16,2019-07-23,7,1,
13761737,2019-07-16,2019-07-23,7,1,
47202562,2019-07-16,2019-07-23,7,1,
1062119,2019-07-16,2019-07-23,7,1,
15263521,2019-07-23,2019-07-23,0,1,
48060103,2019-07-23,2019-07-23,0,1,
8017698,2019-07-23,2019-07-23,0,1,
1374633,2019-07-23,2019-07-23,0,1,
49358534,2019-07-23,2019-07-23,0,1,
1595907,2019-07-23,2019-07-23,0,1,
8082617,2019-07-23,2019-07-23,0,1,
28335879,2019-07-23,2019-07-23,0,1,
7861812,2019-07-23,2019-07-23,0,1,
13723264,2019-07-30,2019-07-30,0,1,
19319576,2019-07-30,2019-07-30,0,1,
42042991,2019-07-30,2019-07-30,0,1,
5712203,2019-02-19,2019-07-30,161,1,
13970565,2019-02-26,2019-07-30,154,1,
4524702,2019-03-12,2019-07-30,140,1,
4810706,2019-06-11,2019-07-30,49,1,
32604809,2019-07-02,2019-07-30,28,1,
29386766,2019-07-16,2019-07-30,14,1,
4087789,2019-07-23,2019-07-30,7,1,
49786025,2019-07-30,2019-07-30,0,1,
8793448,2019-07-30,2019-07-30,0,1,
18757695,2019-07-30,2019-07-30,0,1,
4510224,2019-07-30,2019-07-30,0,1,
29355289,2019-07-30,2019-07-30,0,1,
1993103,2019-07-30,2019-07-30,0,1,
3384140,2019-07-30,2019-07-30,0,1,
11052254,2019-07-30,2019-07-30,0,1,
31022706,2019-07-30,2019-07-30,0,1,
32520302,2019-07-09,2019-08-06,28,1,
1733602,2019-08-06,2019-08-06,0,1,
1403304,2019-06-25,2019-08-06,42,1,
17152264,2019-07-02,2019-08-06,35,1,
10477073,2019-07-09,2019-08-06,28,1,
23655703,2019-07-30,2019-08-06,7,1,
21028843,2019-08-06,2019-08-06,0,1,
12239179,2019-08-06,2019-08-06,0,1,
53515128,2019-08-06,2019-08-06,0,1,
36606633,2019-08-06,2019-08-06,0,1,
1389565,2019-08-06,2019-08-06,0,1,
42240077,2019-08-06,2019-08-06,0,1,
11021542,2019-08-06,2019-08-06,0,1,
46812204,2019-08-06,2019-08-06,0,1,
185895,2019-08-06,2019-08-06,0,1,
24829601,2019-08-06,2019-08-06,0,1,
9710618,2019-08-06,2019-08-06,0,1,
9582842,2019-08-06,2019-08-06,0,1,
11596805,2019-08-06,2019-08-06,0,1,
22140675,2019-08-06,2019-08-06,0,1,
14061364,2019-08-06,2019-08-06,0,1,
1821668,2019-07-23,2019-08-13,21,1,
13320961,2019-08-13,2019-08-13,0,1,
11355765,2019-08-13,2019-08-13,0,1,
2320737,2019-06-25,2019-08-13,49,1,
37658138,2019-08-06,2019-08-13,7,1,
2675621,2019-08-13,2019-08-13,0,1,
805072,2019-08-13,2019-08-13,0,1,
17118447,2019-08-13,2019-08-13,0,1,
23338676,2019-08-13,2019-08-13,0,1,
1257916,2019-08-13,2019-08-13,0,1,
